// ***** BenchmarkRunner: Start   *****
// Found benchmarks:
//   ForgetToCloseStream.Close: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=100]
//   ForgetToCloseStream.Forget: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=100]
//   ForgetToCloseStream.Close: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=4096]
//   ForgetToCloseStream.Forget: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=4096]

// Validating benchmarks:
No exporters defined, results will not be persisted.
// ***** Building 4 benchmark(s) in Parallel: Start   *****
// ***** Done, took 00:00:06 (6.28 sec)   *****
// **************************
// Benchmark: ForgetToCloseStream.Close: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=100]
// *** Execute ***
// Launch: 1 / 1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.5 (CoreCLR 4.6.26919.02, CoreFX 4.6.26919.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-JPVHNJ(InvocationCount=500, UnrollFactor=1)

IdleTarget  8: 500 op, 1800.00 ns, 3.6000 ns/op
IdleTarget  9: 500 op, 1800.00 ns, 3.6000 ns/op
IdleTarget 10: 500 op, 1700.00 ns, 3.4000 ns/op
IdleTarget 11: 500 op, 1700.00 ns, 3.4000 ns/op
IdleTarget 12: 500 op, 2800.00 ns, 5.6000 ns/op
IdleTarget 13: 500 op, 2500.00 ns, 5.0000 ns/op
IdleTarget 14: 500 op, 2400.00 ns, 4.8000 ns/op
IdleTarget 15: 500 op, 1900.00 ns, 3.8000 ns/op
IdleTarget 16: 500 op, 1700.00 ns, 3.4000 ns/op
IdleTarget 17: 500 op, 1600.00 ns, 3.2000 ns/op
IdleTarget 18: 500 op, 1700.00 ns, 3.4000 ns/op
IdleTarget 19: 500 op, 1700.00 ns, 3.4000 ns/op
IdleTarget 20: 500 op, 1700.00 ns, 3.4000 ns/op

MainWarmup  1: 500 op, 305018100.00 ns, 610.0362 us/op
MainWarmup  2: 500 op, 212530300.00 ns, 425.0606 us/op
MainWarmup  3: 500 op, 178381400.00 ns, 356.7628 us/op
MainWarmup  4: 500 op, 171094700.00 ns, 342.1894 us/op
MainWarmup  5: 500 op, 147002100.00 ns, 294.0042 us/op
MainWarmup  6: 500 op, 127268000.00 ns, 254.5360 us/op
MainWarmup  7: 500 op, 126792600.00 ns, 253.5852 us/op
MainWarmup  8: 500 op, 119550500.00 ns, 239.1010 us/op
MainWarmup  9: 500 op, 120828500.00 ns, 241.6570 us/op
MainWarmup 10: 500 op, 117399500.00 ns, 234.7990 us/op
MainWarmup 11: 500 op, 116499100.00 ns, 232.9982 us/op
MainWarmup 12: 500 op, 116691800.00 ns, 233.3836 us/op
MainWarmup 13: 500 op, 117074700.00 ns, 234.1494 us/op
MainWarmup 14: 500 op, 117736900.00 ns, 235.4738 us/op
MainWarmup 15: 500 op, 113937300.00 ns, 227.8746 us/op

// BeforeMainRun
MainTarget  1: 500 op, 117483500.00 ns, 234.9670 us/op
MainTarget  2: 500 op, 115686000.00 ns, 231.3720 us/op
MainTarget  3: 500 op, 115549300.00 ns, 231.0986 us/op
MainTarget  4: 500 op, 108804800.00 ns, 217.6096 us/op
MainTarget  5: 500 op, 111328200.00 ns, 222.6564 us/op
MainTarget  6: 500 op, 108642800.00 ns, 217.2856 us/op
MainTarget  7: 500 op, 114933200.00 ns, 229.8664 us/op
MainTarget  8: 500 op, 116377200.00 ns, 232.7544 us/op
MainTarget  9: 500 op, 111373700.00 ns, 222.7474 us/op
MainTarget 10: 500 op, 126377900.00 ns, 252.7558 us/op
MainTarget 11: 500 op, 118527000.00 ns, 237.0540 us/op
MainTarget 12: 500 op, 119002700.00 ns, 238.0054 us/op
MainTarget 13: 500 op, 113778000.00 ns, 227.5560 us/op
MainTarget 14: 500 op, 113157800.00 ns, 226.3156 us/op
MainTarget 15: 500 op, 118282900.00 ns, 236.5658 us/op
MainTarget 16: 500 op, 112240600.00 ns, 224.4812 us/op
MainTarget 17: 500 op, 123378100.00 ns, 246.7562 us/op
MainTarget 18: 500 op, 110629400.00 ns, 221.2588 us/op
MainTarget 19: 500 op, 117567500.00 ns, 235.1350 us/op
MainTarget 20: 500 op, 114442400.00 ns, 228.8848 us/op
MainTarget 21: 500 op, 118428900.00 ns, 236.8578 us/op
MainTarget 22: 500 op, 120100700.00 ns, 240.2014 us/op
MainTarget 23: 500 op, 138071300.00 ns, 276.1426 us/op
MainTarget 24: 500 op, 117815700.00 ns, 235.6314 us/op
MainTarget 25: 500 op, 149987300.00 ns, 299.9746 us/op
MainTarget 26: 500 op, 159717000.00 ns, 319.4340 us/op
MainTarget 27: 500 op, 136346300.00 ns, 272.6926 us/op
MainTarget 28: 500 op, 113011400.00 ns, 226.0228 us/op
MainTarget 29: 500 op, 107925100.00 ns, 215.8502 us/op
MainTarget 30: 500 op, 112765400.00 ns, 225.5308 us/op
MainTarget 31: 500 op, 109812700.00 ns, 219.6254 us/op
MainTarget 32: 500 op, 115234800.00 ns, 230.4696 us/op
MainTarget 33: 500 op, 118921500.00 ns, 237.8430 us/op
MainTarget 34: 500 op, 117068300.00 ns, 234.1366 us/op
MainTarget 35: 500 op, 113109600.00 ns, 226.2192 us/op
MainTarget 36: 500 op, 115476500.00 ns, 230.9530 us/op
MainTarget 37: 500 op, 112292700.00 ns, 224.5854 us/op
MainTarget 38: 500 op, 111696700.00 ns, 223.3934 us/op
MainTarget 39: 500 op, 111081400.00 ns, 222.1628 us/op
MainTarget 40: 500 op, 113393100.00 ns, 226.7862 us/op
MainTarget 41: 500 op, 114914900.00 ns, 229.8298 us/op
MainTarget 42: 500 op, 110573800.00 ns, 221.1476 us/op
MainTarget 43: 500 op, 109947800.00 ns, 219.8956 us/op
MainTarget 44: 500 op, 118363600.00 ns, 236.7272 us/op

// AfterMainRun
Result  1: 500 op, 117481625.00 ns, 234.9633 us/op
Result  2: 500 op, 115684125.00 ns, 231.3683 us/op
Result  3: 500 op, 115547425.00 ns, 231.0949 us/op
Result  4: 500 op, 108802925.00 ns, 217.6059 us/op
Result  5: 500 op, 111326325.00 ns, 222.6527 us/op
Result  6: 500 op, 108640925.00 ns, 217.2819 us/op
Result  7: 500 op, 114931325.00 ns, 229.8627 us/op
Result  8: 500 op, 116375325.00 ns, 232.7507 us/op
Result  9: 500 op, 111371825.00 ns, 222.7437 us/op
Result 10: 500 op, 126376025.00 ns, 252.7521 us/op
Result 11: 500 op, 118525125.00 ns, 237.0503 us/op
Result 12: 500 op, 119000825.00 ns, 238.0017 us/op
Result 13: 500 op, 113776125.00 ns, 227.5523 us/op
Result 14: 500 op, 113155925.00 ns, 226.3119 us/op
Result 15: 500 op, 118281025.00 ns, 236.5621 us/op
Result 16: 500 op, 112238725.00 ns, 224.4775 us/op
Result 17: 500 op, 123376225.00 ns, 246.7525 us/op
Result 18: 500 op, 110627525.00 ns, 221.2551 us/op
Result 19: 500 op, 117565625.00 ns, 235.1313 us/op
Result 20: 500 op, 114440525.00 ns, 228.8811 us/op
Result 21: 500 op, 118427025.00 ns, 236.8541 us/op
Result 22: 500 op, 120098825.00 ns, 240.1977 us/op
Result 23: 500 op, 117813825.00 ns, 235.6277 us/op
Result 24: 500 op, 113009525.00 ns, 226.0191 us/op
Result 25: 500 op, 107923225.00 ns, 215.8465 us/op
Result 26: 500 op, 112763525.00 ns, 225.5271 us/op
Result 27: 500 op, 109810825.00 ns, 219.6217 us/op
Result 28: 500 op, 115232925.00 ns, 230.4659 us/op
Result 29: 500 op, 118919625.00 ns, 237.8393 us/op
Result 30: 500 op, 117066425.00 ns, 234.1329 us/op
Result 31: 500 op, 113107725.00 ns, 226.2155 us/op
Result 32: 500 op, 115474625.00 ns, 230.9493 us/op
Result 33: 500 op, 112290825.00 ns, 224.5817 us/op
Result 34: 500 op, 111694825.00 ns, 223.3897 us/op
Result 35: 500 op, 111079525.00 ns, 222.1591 us/op
Result 36: 500 op, 113391225.00 ns, 226.7825 us/op
Result 37: 500 op, 114913025.00 ns, 229.8261 us/op
Result 38: 500 op, 110571925.00 ns, 221.1439 us/op
Result 39: 500 op, 109945925.00 ns, 219.8919 us/op
Result 40: 500 op, 118361725.00 ns, 236.7235 us/op
GC:  8 2 0 335144504 500

// AfterAll

Mean = 229.4711 us, StdErr = 1.2777 us (0.56%); N = 40, StdDev = 8.0807 us
Min = 215.8465 us, Q1 = 223.0667 us, Median = 229.3536 us, Q3 = 235.3795 us, Max = 252.7521 us
IQR = 12.3128 us, LowerFence = 204.5975 us, UpperFence = 253.8487 us
ConfidenceInterval = [224.9250 us; 234.0172 us] (CI 99.9%), Margin = 4.5461 us (1.98% of Mean)
Skewness = 0.56, Kurtosis = 3.14, MValue = 2.73

// **************************
// Benchmark: ForgetToCloseStream.Close: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=4096]
// *** Execute ***
// Launch: 1 / 1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.5 (CoreCLR 4.6.26919.02, CoreFX 4.6.26919.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-FPHNUK(InvocationCount=500, UnrollFactor=1)

IdleWarmup  1: 500 op, 177000.00 ns, 354.0000 ns/op
IdleWarmup  2: 500 op, 3300.00 ns, 6.6000 ns/op
IdleWarmup  3: 500 op, 1700.00 ns, 3.4000 ns/op
IdleWarmup  4: 500 op, 1600.00 ns, 3.2000 ns/op
IdleWarmup  5: 500 op, 1700.00 ns, 3.4000 ns/op
IdleWarmup  6: 500 op, 1600.00 ns, 3.2000 ns/op
IdleWarmup  7: 500 op, 1600.00 ns, 3.2000 ns/op
IdleWarmup  8: 500 op, 1600.00 ns, 3.2000 ns/op

IdleTarget  1: 500 op, 1800.00 ns, 3.6000 ns/op
IdleTarget  2: 500 op, 1800.00 ns, 3.6000 ns/op
IdleTarget  3: 500 op, 2100.00 ns, 4.2000 ns/op
IdleTarget  4: 500 op, 1700.00 ns, 3.4000 ns/op
IdleTarget  5: 500 op, 1700.00 ns, 3.4000 ns/op
IdleTarget  6: 500 op, 1600.00 ns, 3.2000 ns/op
IdleTarget  7: 500 op, 1600.00 ns, 3.2000 ns/op
IdleTarget  8: 500 op, 1600.00 ns, 3.2000 ns/op
IdleTarget  9: 500 op, 2000.00 ns, 4.0000 ns/op
IdleTarget 10: 500 op, 1700.00 ns, 3.4000 ns/op
IdleTarget 11: 500 op, 1700.00 ns, 3.4000 ns/op
IdleTarget 12: 500 op, 1600.00 ns, 3.2000 ns/op
IdleTarget 13: 500 op, 1700.00 ns, 3.4000 ns/op
IdleTarget 14: 500 op, 1600.00 ns, 3.2000 ns/op
IdleTarget 15: 500 op, 6100.00 ns, 12.2000 ns/op
IdleTarget 16: 500 op, 1900.00 ns, 3.8000 ns/op
IdleTarget 17: 500 op, 3300.00 ns, 6.6000 ns/op
